date,location,block,pasture,patch,subpatch,plot,array,arrayID,sample,LAI,SoilMoisture,FuelMoisture,burned
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,1,3,NA,NA,NA,0.368970013,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,2,1,NA,NA,22.3,0.211278793,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,2,2,NA,NA,25.7,0.150214592,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,2,3,NA,NA,20.4,0.243523316,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,3,1,NA,NA,8.2,0.428571429,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,3,2,NA,NA,10.7,0.216535433,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,3,3,NA,NA,13.7,0.242236025,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,1,1,NA,NA,12.4,0.306751728,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,1,2,NA,NA,13.4,0.187683284,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,1,3,NA,NA,13.9,0.261168385,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,2,1,NA,NA,30.7,0.127081825,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,2,2,NA,NA,39.1,0.248190719,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,2,3,NA,NA,18.7,0.180209699,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,3,1,NA,NA,11.4,0.510014306,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,3,2,NA,NA,19,0.43264942,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,2,3,3,NA,NA,12.5,0.236956522,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,1,1,NA,NA,6.5,0.086956522,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,1,2,NA,NA,20.9,0.175438596,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,1,3,NA,NA,18.2,0.786096257,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,2,1,NA,NA,18.2,0.696850394,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,2,2,NA,NA,22.6,0.362110312,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,2,3,NA,NA,18.2,0.8671875,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,3,1,NA,NA,19.8,0.37037037,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,3,2,NA,NA,20.1,0.225806452,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,3,3,3,NA,NA,7.6,0.627586207,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,1,1,NA,NA,NA,0.163366337,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,1,2,NA,NA,NA,0.139088729,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,1,3,NA,NA,NA,0.203592814,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,2,1,NA,NA,NA,0.248454883,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,2,2,NA,NA,NA,0.317330211,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,2,3,NA,NA,NA,0.198830409,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,3,1,NA,NA,NA,0.403061224,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,3,2,NA,NA,NA,0.137755102,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,1,3,3,NA,NA,NA,0.29361422,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,1,1,NA,NA,NA,0.36318408,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,1,2,NA,NA,NA,0.274606299,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,1,3,NA,NA,NA,0.415797317,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,2,1,NA,NA,NA,0.308262712,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,2,2,NA,NA,NA,0.501468429,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,2,3,NA,NA,NA,0.336206897,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,3,1,NA,NA,NA,0.509433962,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,3,2,NA,NA,NA,0.27388535,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,2,3,3,NA,NA,NA,0.262376238,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,1,1,NA,NA,NA,0.25359402,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,1,2,NA,NA,NA,0.367009132,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,1,3,NA,NA,NA,0.18724559,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,2,1,NA,NA,NA,0.199882075,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,2,2,NA,NA,NA,0.275,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,2,3,NA,NA,NA,0.295918367,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,3,1,NA,NA,NA,0.509988249,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,3,2,NA,NA,NA,0.426361386,
2019-05-14T00:00:00Z,CGREC,BOB,NE,NW,W,3,3,3,NA,NA,NA,0.202910959,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,1,1,NA,NA,32,0.330798479,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,1,2,NA,NA,27.3,0.419642857,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,1,3,NA,NA,28.4,0.314338235,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,2,1,NA,NA,18,0.775862069,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,2,2,NA,NA,13,0.533795494,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,2,3,NA,NA,13.7,0.526479751,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,3,1,NA,NA,14.5,0.408882083,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,3,2,NA,NA,21.8,0.435483871,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,1,3,3,NA,NA,22.6,0.472457627,
2019-05-14T00:00:00Z,CGREC,BOB,SW,SW,NA,2,1,1,NA,NA,21,0.375464684,
