LoggerID,Date,TimeStamp,1,2,3,4
4,5/7/2019,10:56:50.1,19.5,17.75,24.5,24.12
4,5/7/2019,10:56:51.0,19.5,17.75,24.5,23.8
4,5/7/2019,10:56:51.1,19.5,17.75,24.75,24.12
4,5/7/2019,10:56:52.0,19.5,17.5,24.5,24.44
4,5/7/2019,10:56:52.1,19.5,17.75,24.5,24.12
4,5/7/2019,10:56:53.0,19.5,17.75,24.5,24.12
4,5/7/2019,10:56:53.1,19.5,17.75,24.75,24.12
4,5/7/2019,10:56:54.0,19.5,17.75,24.75,23.8
4,5/7/2019,10:56:55.0,19.75,18,24.75,24.12
4,5/7/2019,10:56:55.1,19.75,18,25,24.12
4,5/7/2019,10:56:56.0,19.75,18,25,24.12
4,5/7/2019,10:56:56.1,19.75,18,25,24.12
4,5/7/2019,10:56:57.0,19.75,18.25,25,24.12
4,5/7/2019,10:56:57.1,19.5,18,25,24.12
4,5/7/2019,10:56:58.0,19.5,18.25,25.25,24.12
4,5/7/2019,10:56:58.1,19.5,18.25,25.25,24.44
4,5/7/2019,10:56:59.0,19.5,18.25,25.25,23.8
4,5/7/2019,10:56:59.1,19.75,18.25,25.25,24.12
4,5/7/2019,10:57:00.0,19.5,18.25,25.5,24.44
4,5/7/2019,10:57:01.0,19.5,18,25.5,24.12
4,5/7/2019,10:57:01.1,19.5,18.25,25.5,24.12
4,5/7/2019,10:57:02.0,19.5,18.25,25.75,24.12
4,5/7/2019,10:57:02.1,19.5,18.25,25.75,24.12
4,5/7/2019,10:57:03.0,19.5,18.25,25.75,24.12
4,5/7/2019,10:57:03.1,19.5,18.25,25.75,24.12
4,5/7/2019,10:57:04.0,19.5,18.25,25.75,24.12
4,5/7/2019,10:57:04.1,19.5,18.25,25.75,23.8
4,5/7/2019,10:57:05.0,19.5,18,25.75,24.12
4,5/7/2019,10:57:05.1,19.5,18,25.75,23.8
4,5/7/2019,10:57:06.0,19.5,17.75,25.75,23.8
4,5/7/2019,10:57:07.0,19.5,17.75,25.75,24.12
4,5/7/2019,10:57:07.1,19.5,17.75,25.75,24.12
4,5/7/2019,10:57:08.0,19.5,17.5,25.75,23.8
4,5/7/2019,10:57:08.1,19.5,17.75,25.75,23.8
4,5/7/2019,10:57:09.0,19.5,17.75,25.75,24.12
4,5/7/2019,10:57:09.1,19.5,17.5,25.75,24.12
4,5/7/2019,10:57:10.0,19.5,17.75,25.75,23.8
4,5/7/2019,10:57:10.1,19.25,17.75,26,23.8
4,5/7/2019,10:57:11.0,19.5,17.75,26,23.8
4,5/7/2019,10:57:11.1,19.5,17.75,26,24.12
4,5/7/2019,10:57:12.0,19.25,17.75,25.75,23.8
4,5/7/2019,10:57:13.0,19.25,17.75,26,24.12
4,5/7/2019,10:57:13.1,19.25,17.75,26,24.12
4,5/7/2019,10:57:14.0,19.5,17.75,26,23.8
4,5/7/2019,10:57:14.1,19.5,18,26,24.12
4,5/7/2019,10:57:15.0,19.5,17.75,26,24.12
4,5/7/2019,10:57:15.1,19.5,18,26,23.8
4,5/7/2019,10:57:16.0,19.25,18,26,23.8
4,5/7/2019,10:57:16.1,19.25,18,26,24.12
4,5/7/2019,10:57:17.0,19.25,18,26.25,24.12
4,5/7/2019,10:57:17.1,19.25,18,26.25,24.12
4,5/7/2019,10:57:18.0,19.25,18,26.5,24.12
4,5/7/2019,10:57:19.0,19.25,17.75,26.5,24.12
4,5/7/2019,10:57:19.1,19.25,17.25,26.5,24.44
4,5/7/2019,10:57:20.0,19.25,17.5,26.5,24.12
4,5/7/2019,10:57:20.1,19.25,17.25,26.5,24.12
4,5/7/2019,10:57:21.0,19.25,17.25,26.25,23.8
4,5/7/2019,10:57:21.1,19.25,17.5,26.25,23.8
4,5/7/2019,10:57:22.0,19,17.5,26.25,24.12
4,5/7/2019,10:57:22.1,19.25,17.5,26.25,24.12
4,5/7/2019,10:57:23.0,19,17.5,26.25,24.12
4,5/7/2019,10:57:23.1,19,17.5,26.25,23.8
4,5/7/2019,10:57:24.0,19,17.5,26.25,23.8
4,5/7/2019,10:57:25.0,19,17.75,26.25,24.12
4,5/7/2019,10:57:25.1,19,17.75,26.25,24.12
4,5/7/2019,10:57:26.0,19.25,17.75,26.25,24.12
4,5/7/2019,10:57:26.1,19,17.5,26,23.8
4,5/7/2019,10:57:27.0,19,17.5,26,23.48
4,5/7/2019,10:57:27.1,19,17.5,26,23.8
4,5/7/2019,10:57:28.0,19,17.25,26,23.8
4,5/7/2019,10:57:28.1,19,17.5,26,23.8
4,5/7/2019,10:57:29.0,19.25,17.5,26,24.12
4,5/7/2019,10:57:29.1,19.25,17.5,26.25,23.8
4,5/7/2019,10:57:30.0,19.25,17.75,26.25,23.8
4,5/7/2019,10:57:31.0,19.25,17.75,26.25,23.8
4,5/7/2019,10:57:31.1,19.25,17.75,26.25,23.8
4,5/7/2019,10:57:32.0,19.25,17.75,26,23.8
4,5/7/2019,10:57:32.1,19.25,17.75,26,23.8
4,5/7/2019,10:57:33.0,19.25,17.5,26,24.12
4,5/7/2019,10:57:33.1,19.25,17.5,25.75,24.12
4,5/7/2019,10:57:34.0,19.25,17.5,26,24.12
4,5/7/2019,10:57:34.1,19.25,17.25,26,23.8
4,5/7/2019,10:57:35.0,19.25,17.25,26,23.48
4,5/7/2019,10:57:35.1,19,17.5,26,23.8
4,5/7/2019,10:57:36.0,19,17.25,26,23.8
4,5/7/2019,10:57:37.0,19,17.25,26,23.8
4,5/7/2019,10:57:37.1,18.75,17,26,23.8
4,5/7/2019,10:57:38.0,18.75,17,26,23.8
4,5/7/2019,10:57:38.1,18.75,17,26.25,23.8
4,5/7/2019,10:57:39.0,18.75,17.25,26.25,24.12
4,5/7/2019,10:57:39.1,18.75,17,26.25,23.8
4,5/7/2019,10:57:40.0,18.75,17,26.25,23.8
4,5/7/2019,10:57:40.1,18.75,17,26.25,23.8
4,5/7/2019,10:57:41.0,18.75,16.75,26.25,23.48
4,5/7/2019,10:57:41.1,18.75,16.75,26.25,23.48
4,5/7/2019,10:57:42.0,18.75,17,26.25,23.8
4,5/7/2019,10:57:43.0,18.75,17,26.25,23.8
4,5/7/2019,10:57:43.1,18.75,17,26.25,23.8
4,5/7/2019,10:57:44.0,18.75,17.25,26.25,23.8
4,5/7/2019,10:57:44.1,18.75,17.25,26.25,23.8
4,5/7/2019,10:57:45.0,18.75,17,26.25,23.8
4,5/7/2019,10:57:45.1,18.75,17,26.5,23.8
4,5/7/2019,10:57:46.0,18.75,17.25,26.5,24.12
4,5/7/2019,10:57:46.1,18.75,17.25,26.5,23.48
4,5/7/2019,10:57:47.0,18.75,17.25,26.5,23.15
4,5/7/2019,10:57:47.1,18.75,17.25,26.5,23.48
4,5/7/2019,10:57:48.0,18.75,17.25,26.5,23.8
4,5/7/2019,10:57:48.1,18.75,17.25,26.75,23.8
