FireCode,location,block,pasture,patch,year,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,RH,WindSpeed,VPD,ros,SoilMaxC,tHa
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,1,2,21.52,0.67,9.34,0.8433333333333334,369.4166666666667,25.09,15.19864474,19.268277816207878,6.4951905283836595,210,2.5616
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,2,1,21.52,0.67,15.729999999999999,0.44333333333333336,355.5833333333333,25.09,15.19864474,19.268277816207878,17.320508075665142,242.25,1.2096
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,2,2,21.52,0.67,11.846666666666668,0.5333333333333333,363.5,25.09,15.19864474,19.268277816207878,5.447047794020705,408.75,1.7162666666666666
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,2,3,21.52,0.67,8.793333333333333,0.6066666666666667,400.1666666666667,25.09,15.19864474,19.268277816207878,7.924058156932797,72,1.8869333333333331
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,3,1,21.52,0.67,14.733333333333333,1.1733333333333333,520.9166666666666,25.09,15.19864474,19.268277816207878,3.347136014875314,98.25,1.3402666666666667
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,3,2,21.52,0.67,13.106666666666666,0.41,156.91666666666666,25.09,15.19864474,19.268277816207878,0.9701002309035953,305.75,1.8976
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,1,1,21.11,4.16,35.49,0.7933333333333333,119.5,32.915,17.10893606,16.818278194049167,0.6755089343840702,NA,1.0096
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,1,2,21.11,4.16,61.20666666666667,0.8566666666666667,56.75,32.915,17.10893606,16.818278194049167,3.110855084190796,NA,0.8048000000000001
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,1,3,21.11,4.16,43.89666666666667,0.7266666666666667,96.75,32.915,17.10893606,16.818278194049167,1.676178200873305,33.25,0.7653333333333334
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,2,1,20.73,4.04,38.92666666666666,1.28,203.5,33.42,19.55996698,16.309255066729815,4.9099025303083135,NA,1.5354666666666668
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,2,2,20.73,4.04,34.24666666666667,2.2933333333333334,126.83333333333333,33.42,19.55996698,16.309255066729815,0.10489232647443056,NA,2.9173333333333336
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,2,3,20.73,4.04,53.21666666666667,0.9133333333333333,69.25,33.42,19.55996698,16.309255066729815,0.08258093715338621,101.5,0.7082666666666666
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,3,1,20.73,4.04,40.15,1.2566666666666666,269.3333333333333,33.42,19.55996698,16.309255066729815,11.338934190270551,NA,2.5984000000000003
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,3,2,20.73,4.04,32.06,1.3933333333333333,136.16666666666666,33.42,19.55996698,16.309255066729815,0.2507469687457628,NA,2.7157333333333336
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,3,3,20.73,4.04,30.906666666666666,1.3266666666666667,192.41666666666666,33.42,19.55996698,16.309255066729815,0.9074259060284245,18.75,1.9397333333333333
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,1,1,11.21,-5.22,NA,0.45,293.1666666666667,31.57,19.86,9.172174349680589,6.495190528383659,17.5,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,1,2,11.21,-5.22,NA,0.36666666666666664,222.25,31.57,19.86,9.172174349680589,30.000000000027278,22.5,NA
