FireCode,location,block,pasture,patch,year,JD,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,MaxWindSpeed,WindSpeed,RH,VPD,ros,SoilMaxC,tHa
CG.BOB.SE.SEW.19,CG,BOB,SE,SEW,19,133,2,3,21.535,7.66,39.32,1.453333333,96.33333333,35.16598105,22.67078391,40.81,15.2212527,0.004809731,261.75,1.834133333
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,1,1,21.52,0.67,11.03,0.756666667,385.75,37.85177088,15.19864474,25.09,19.26827782,5.447047794,275.5,2.5456
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,1,2,21.52,0.67,9.34,0.843333333,369.4166667,37.85177088,15.19864474,25.09,19.26827782,6.495190528,210,2.5616
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,2,1,21.52,0.67,15.73,0.443333333,355.5833333,37.85177088,15.19864474,25.09,19.26827782,17.32050808,242.25,1.2096
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,2,2,21.52,0.67,11.84666667,0.533333333,363.5,37.85177088,15.19864474,25.09,19.26827782,5.447047794,408.75,1.716266667
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,2,3,21.52,0.67,8.793333333,0.606666667,400.1666667,37.85177088,15.19864474,25.09,19.26827782,7.924058157,72,1.886933333
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,3,1,21.52,0.67,14.73333333,1.173333333,520.9166667,37.85177088,15.19864474,25.09,19.26827782,3.347136015,98.25,1.340266667
CG.BOB.SW.SE.18,CG,BOB,SW,SE,18,123,3,2,21.52,0.67,13.10666667,0.41,156.9166667,37.85177088,15.19864474,25.09,19.26827782,0.970100231,305.75,1.8976
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,1,1,21.11,4.16,35.49,0.793333333,119.5,32.8048681,17.10893606,32.915,16.81827819,0.675508934,NA,1.0096
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,1,2,21.11,4.16,61.20666667,0.856666667,56.75,32.8048681,17.10893606,32.915,16.81827819,3.110855084,NA,0.8048
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,1,3,21.11,4.16,43.89666667,0.726666667,96.75,32.8048681,17.10893606,32.915,16.81827819,1.676178201,33.25,0.765333333
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,2,1,20.73,4.04,38.92666667,1.28,203.5,35.32831949,19.55996698,33.42,16.30925507,4.90990253,NA,1.535466667
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,2,2,20.73,4.04,34.24666667,2.293333333,126.8333333,35.32831949,19.55996698,33.42,16.30925507,0.104892326,NA,2.917333333
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,2,3,20.73,4.04,53.21666667,0.913333333,69.25,35.32831949,19.55996698,33.42,16.30925507,0.082580937,101.5,0.708266667
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,3,1,20.73,4.04,40.15,1.256666667,269.3333333,35.32831949,19.55996698,33.42,16.30925507,11.33893419,NA,2.5984
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,3,2,20.73,4.04,32.06,1.393333333,136.1666667,35.32831949,19.55996698,33.42,16.30925507,0.250746969,NA,2.715733333
CG.BOB.SW.SW.19,CG,BOB,SW,SW,19,134,3,3,20.73,4.04,30.90666667,1.326666667,192.4166667,35.32831949,19.55996698,33.42,16.30925507,0.907425906,18.75,1.939733333
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,1,1,11.21,-5.22,NA,0.45,293.1666667,30.86,19.86,31.57,9.17217435,6.495190528,17.5,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,1,2,11.21,-5.22,NA,0.366666667,222.25,30.86,19.86,31.57,9.17217435,30,22.5,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,1,3,11.21,-5.22,NA,0.196666667,173.1666667,30.86,19.86,31.57,9.17217435,30,28.31,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,2,1,11.21,-5.22,NA,0.483333333,336.9166667,30.86,19.86,31.57,9.17217435,12.99038106,255.25,NA
H.Cle.Cl.CN.17,H,Cle,Cl,CN,17,301,2,3,11.21,-5.22,NA,0.433333333,381.8333333,30.86,19.86,31.57,9.17217435,8.320502943,24.77,NA
