Logger_ID,Date,Time_Stamp,1,2,3,4,5,6,7
Y3,10/8/2019,0:00:31.0,21.25,20,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:31.1,21.25,20,22,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:32.0,21.25,20,22,22,nan,nan,16.71
Y3,10/8/2019,0:00:33.0,21.25,20,22,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:34.0,21.25,20,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:34.1,21.25,20,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:35.0,21.25,20,22,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:36.0,21.25,20,22,22.25,nan,nan,17.03
Y3,10/8/2019,0:00:37.0,21.25,20,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:37.1,21.25,20,22,22,nan,nan,16.71
Y3,10/8/2019,0:00:38.0,21,20,22,22,nan,nan,16.71
Y3,10/8/2019,0:00:39.0,21,20,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:40.0,21,20,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:40.1,21,19.75,22,22,nan,nan,16.71
Y3,10/8/2019,0:00:41.0,21,19.75,22,22,nan,nan,17.03
Y3,10/8/2019,0:00:42.0,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:42.1,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:43.0,21,19.75,22,22,nan,nan,17.03
Y3,10/8/2019,0:00:44.0,21,19.75,22,22,nan,nan,16.06
Y3,10/8/2019,0:00:45.0,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:45.1,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:46.0,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:47.0,21,19.75,22,22,nan,nan,16.71
Y3,10/8/2019,0:00:48.0,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:48.1,21,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:49.0,20.75,19.75,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:50.0,20.75,19.75,22.25,22,nan,nan,16.71
Y3,10/8/2019,0:00:51.0,20.75,19.5,22,22,nan,nan,17.03
Y3,10/8/2019,0:00:51.1,20.75,19.5,22.25,22,nan,nan,16.39
Y3,10/8/2019,0:00:52.0,20.75,19.5,22,22,nan,nan,16.39
Y3,10/8/2019,0:00:53.0,20.75,19.5,22,22,nan,nan,16.06
Y3,10/8/2019,0:00:54.0,20.75,19.5,22,21.75,nan,nan,16.39
Y3,10/8/2019,0:00:54.1,20.75,19.5,22,21.75,nan,nan,16.06
Y3,10/8/2019,0:00:55.0,20.75,19.5,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:00:56.0,20.75,19.5,22.25,22,nan,nan,16.06
Y3,10/8/2019,0:00:56.1,20.75,19.5,22.25,22,nan,nan,16.06
Y3,10/8/2019,0:00:57.0,20.75,19.5,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:00:58.0,21,19.5,22.25,22,nan,nan,16.71
Y3,10/8/2019,0:00:59.0,20.75,19.25,22.25,22,nan,nan,16.39
Y3,10/8/2019,0:00:59.1,20.75,19.5,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:00.0,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:01.0,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:02.0,20.75,19.25,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:02.1,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:03.0,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:04.0,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:05.0,20.75,19.25,22.25,22,nan,nan,16.06
Y3,10/8/2019,0:01:05.1,20.75,19.25,22.25,22,nan,nan,16.39
Y3,10/8/2019,0:01:06.0,20.75,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:07.0,20.75,19.25,22.25,22,nan,nan,16.39
Y3,10/8/2019,0:01:08.0,20.75,19.25,22.25,22,nan,nan,16.06
Y3,10/8/2019,0:01:08.1,20.5,19.25,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:09.0,20.5,19.25,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:10.0,20.5,19.25,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:10.1,20.5,19.25,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:11.0,20.5,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:12.0,20.5,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:13.0,20.5,19.25,22.25,22,nan,nan,16.71
Y3,10/8/2019,0:01:13.1,20.5,19.25,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:14.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:15.0,20.5,19,22.25,21.75,nan,nan,17.03
Y3,10/8/2019,0:01:16.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:16.1,20.5,19,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:17.0,20.5,19,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:18.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:19.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:19.1,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:20.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:21.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:22.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:22.1,20.5,19,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:23.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:24.0,20.5,19,22.25,21.75,nan,nan,15.74
Y3,10/8/2019,0:01:24.1,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:25.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:26.0,20.5,19,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:27.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:27.1,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:28.0,20.5,19,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:29.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:30.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:30.1,20.5,18.75,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:31.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:32.0,20.5,19,22.25,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:33.0,20.5,19,22.5,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:33.1,20.5,18.75,22.25,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:34.0,20.25,19,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:35.0,20.25,18.75,22.5,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:36.0,20.25,18.75,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:36.1,20.25,19,22.5,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:37.0,20.25,18.75,22.25,21.75,nan,nan,16.06
Y3,10/8/2019,0:01:38.0,20.25,19,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:38.1,20.25,18.75,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:39.0,20.25,18.75,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:40.0,20.25,19,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:41.0,20.25,19,22.5,21.75,nan,nan,16.71
Y3,10/8/2019,0:01:41.1,20.25,18.75,22.5,21.75,nan,nan,16.39
Y3,10/8/2019,0:01:42.0,20.25,18.75,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:43.0,20.25,19,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:44.0,20.25,19,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:44.1,20.25,19,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:45.0,20.25,18.75,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:46.0,20.25,18.75,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:47.0,20.25,18.75,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:47.1,20.25,18.75,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:48.0,20.25,18.75,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:49.0,20.25,18.75,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:50.0,20.25,18.5,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:50.1,20.25,18.75,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:51.0,20.25,18.75,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:52.0,20.25,18.5,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:52.1,20,18.5,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:53.0,20,18.5,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:54.0,20,18.5,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:55.0,20,18.5,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:55.1,20,18.5,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:56.0,20,18.5,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:57.0,20,18.5,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:01:58.0,20,18.5,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:01:58.1,20,18.5,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:01:59.0,20,18.25,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:00.0,20,18.5,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:01.0,20,18.25,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:01.1,20,18.5,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:02.0,20,18.5,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:03.0,20,18.25,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:04.0,20,18.25,22.5,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:04.1,20,18.25,22.5,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:05.0,20,18.25,22.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:06.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:06.1,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:07.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:08.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:09.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:09.1,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:10.0,20,18.25,22.5,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:11.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:12.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:12.1,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:13.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:14.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:15.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:15.1,20,18.25,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:16.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:17.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:18.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:18.1,20,18.25,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:19.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:20.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:20.1,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:21.0,20,18.25,22.75,21.5,nan,nan,15.74
Y3,10/8/2019,0:02:22.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:23.0,20,18,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:23.1,20,18.25,22.75,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:24.0,20,18.25,22.75,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:25.0,20,18.25,22.75,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:26.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:26.1,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:27.0,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:28.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:29.0,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:29.1,20,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:30.0,20,18.25,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:31.0,20,18.25,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:32.0,20,18.25,22.75,21.5,nan,nan,16.71
Y3,10/8/2019,0:02:32.1,20,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:33.0,19.75,18.25,22.75,21.5,nan,nan,16.39
Y3,10/8/2019,0:02:34.0,19.75,18,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:34.1,19.75,18.25,22.75,21.5,nan,nan,16.06
Y3,10/8/2019,0:02:35.0,19.75,18.25,22.75,21.25,nan,nan,16.39
Y3,10/8/2019,0:02:36.0,19.75,18.25,22.75,21.25,nan,nan,16.71
Y3,10/8/2019,0:02:37.0,19.75,18,22.75,21.25,nan,nan,16.39
